bid,secondary_index
37,"7.7
"
207,"6.9
"
419,"6.5
"
566,"6.1
"
743,"5.7
"
867,"7.7
"
1097,"6.2
"
1277,"5.4
"
1521,"5.5
"
1694,"6.6
"
1950,"6.5
"
2131,"5.7
"
2325,"7.1
"
2496,"7.1
"
2628,"5.7
"
2811,"7.8
"
2940,"7.2
"
3090,"6.5
"
3222,"6.1
"
3410,"5.4
"
3577,"6.4
"
3744,"6.5
"
3918,"6
"
4199,"6.3
"
4404,"7.1
"
4549,"7
"
4650,"6.6
"
4820,"7.4
"
4960,"7.6
"
5210,"6.5
"
5351,"6.4
"
5490,"7.4
"
5715,"6.8
"
5865,"6
"
6056,"6.4
"
6227,"7.3
"
6337,"3.5
"
6599,"6.1
"
6775,"6.9
"
6983,"6.7
"
7105,"6.9
"
7242,"6.6
"
7443,"6.3
"
7625,"5.4
"
7765,"6.7
"
7962,"6.5
"
8121,"8.1
"
8285,"6.7
"
8490,"5.9
"
8640,"8.1
"
8935,"6.3
"
9068,"6.7
"
9215,"7.7
"
9392,"5.2
"
9638,"6.1
"
9741,"3
"
9830,"6.3
"
10051,"7.6
"
10264,"6.5
"
10483,"5.9
"
10673,"5.8
"
10950,"6.9
"
11128,"6.2
"
11338,"4.5
"
11482,"4.4
"
11632,"2.8
"
11842,"5.4
"
11979,"6
"
12162,"7
"
12263,"6.9
"
12509,"4.1
"
12722,"7
"
12901,"6.6
"
13044,"5.1
"
13186,"3.9
"
13325,"6.1
"
13470,"7.3
"
13622,"6.1
"
13768,"5.5
"
13904,"7.5
"
14053,"6.7
"
14215,"7.2
"
14356,"4.5
"
14527,"0
"
14580,"6.3
"
14727,"6.3
"
14985,"5.1
"
15253,"6
"
15359,"6.1
"
15527,"6.7
"
15649,"5.7
"
15851,"4.5
"
16031,"6.6
"
16205,"5.7
"
16407,"7.5
"
16522,"7.9
"
16626,"5.6
"
16865,"6.8
"
16996,"6
"
17131,"6.8
"
17340,"3.3
"
17480,"5.3
"
17693,"6.5
"
17802,"7.3
"
17959,"5.1
"
18133,"6.5
"
18380,"7
"
18487,"0
"
18569,"7.7
"
18877,"8.1
"
19052,"6.5
"
19313,"5.8
"
19539,"7.5
"
19652,"7
"
19774,"7.3
"
19960,"6.9
"
20144,"5.4
"
20287,"5.1
"
20435,"5.2
"
20669,"7
"
20786,"5.4
"
20968,"7.9
"
21283,"6.8
"
21428,"6.3
"
21580,"4.4
"
21725,"4.3
"
21896,"0
"
21936,"7
"
22080,"5.6
"
22212,"5.4
"
22389,"5.1
"
22589,"5.5
"
22759,"0
"
22905,"5.6
"
23015,"6.5
"
23150,"3.8
"
23261,"7.2
"
23371,"0
"
23403,"5.9
"
23553,"6.7
"
23704,"7
"
23892,"6.3
"
24073,"6.5
"
24268,"5
"
24485,"7.2
"
24632,"6
"
24814,"6.5
"
25008,"7.3
"
25111,"6.5
"
25218,"6.4
"
25357,"5.2
"
25526,"7.3
"
25743,"6.4
"
25884,"6.8
"
25996,"5.9
"
26136,"6
"
26300,"6.8
"
26466,"5
"
26775,"7
"
26942,"7.6
"
27049,"6.8
"
27215,"6.3
"
27396,"6.9
"
27631,"5.6
"
27835,"0
"
27972,"5.9
"
28218,"5.5
"
28445,"6.2
"
28768,"6.5
"
28977,"5.5
"
29264,"5.4
"
29381,"4
"
29514,"6.8
"
29642,"7.2
"
29785,"5.9
"
29963,"7
"
30107,"5.5
"
30278,"6.8
"
30416,"5.2
"
30688,"5.6
"
30871,"6.4
"
31062,"5.9
"
31236,"5.6
"
31503,"5.5
"
31657,"5.8
"
31764,"6.4
"
31936,"10
"
32100,"7.2
"
32200,"5.5
"
32379,"5.3
"
32441,"4.9
"
32546,"7.2
"
32677,"5.7
"
32797,"5.5
"
32970,"6.6
"
33133,"6.8
"
33340,"7.6
"
33497,"4.6
"
33614,"6.1
"
33753,"6.5
"
33896,"6.3
"
34083,"5.6
"
34240,"6.4
"
34414,"6
"
34522,"6.5
"
34671,"5.9
"
34891,"5.1
"
35005,"5.9
"
35196,"6
"
35310,"4.9
"
35583,"6.7
"
35701,"7.7
"
35913,"7.7
"
36136,"6.2
"
36329,"4.7
"
36471,"6.3
"
36612,"7.2
"
36748,"5.8
"
37032,"6.5
"
37212,"7.4
"
37314,"6.3
"
37489,"5.9
"
37722,"2.5
"
37830,"5.1
"
38000,"5.3
"
38183,"7.1
"
38364,"7.1
"
38539,"6.5
"
38650,"7.5
"
38831,"6.5
"
39016,"4.3
"
39220,"7.3
"
39382,"6.2
"
39564,"6.1
"
39736,"5.6
"
39971,"6.7
"
40214,"5
"
40348,"6.6
"
40513,"5.9
"
40651,"3
"
40814,"5
"
41032,"5.4
"
41235,"7.7
"
41348,"6.9
"
41492,"6
"
41676,"6.9
"
41854,"6
"
42023,"6
"
42242,"5.9
"
42446,"7.2
"
42643,"5.2
"
42791,"4.8
"
42931,"4.7
"
43100,"6
"
43298,"4.3
"
43560,"5.7
"
43759,"8.1
"
43935,"7
"
44156,"7.4
"
44375,"7.4
"
44488,"6.6
"
44622,"6.6
"
44817,"7.2
"
45061,"6.1
"
45235,"6.4
"
45374,"5.7
"
45552,"4.3
"
45693,"6.4
"
45802,"6.7
"
